NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Padaria Armorial;4.2;10 comentários;Av. Visconde do Rio Branco, 2565 - E - Joaquim Távora (Fortaleza), Fortaleza - CE, 60055-171;Padaria;;padaria
Padaria Sabor De Pāo;3.8;14 comentários;R. Paulo Águiar, 1111 - Vicente Pinzon, Fortaleza - CE, 60184-310;Padaria;;padaria
Padaria Do Trigo;1.0;Um comentário;Av. Pintor Antônio Bandeira - Cais do Porto, Fortaleza - CE, 60180-476;Padaria;;padaria
Padaria Padoca;;;Rua Dona Leopoldina, 1681 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-482;;;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar;4.2;2.721 comentários;Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161;Supermercado;15 min;padaria
Pão Da Hoora Padaria;;;R. Antônio Augusto, 630 - Meireles, Fortaleza - CE, 60110-370;;;padaria
Imperial Delicatessen;4.1;13 comentários;Av. Bezerra de Menezes, 2485 - Parquelândia, Fortaleza - CE, 60325-105;Padaria;;padaria
Confeitaria Sabor E Requinte;2.0;Um comentário;R. Barão do Rio Branco, 1980 - Centro, Fortaleza - CE;Padaria;;padaria
Thalita pães e cafés;;;Av. G, 291 - Pref. José Walter, Fortaleza - CE, 60750-060;Restaurante;15 min;padaria
Rei Dos Pasteis E Salgados Padaria;;;Centro, Fortaleza - CE, 60035-110;;;padaria
Cheirinho de Pão;5.0;Um comentário;R. Doralice Costa, 353 - Luciano Cavalcante, Fortaleza - CE, 60810-680;Padaria;;padaria
Padaria;;;R. Rev. Bolivar Pinto Bandeira, 237 - Luciano Cavalcante, Fortaleza - CE, 60811-310;;;padaria
Santeq Store Equipamentos;;;Av. Dom Manuel, 1211 - Centro, Fortaleza - CE, 60060-091;Equipamentos de panificação;25 min;padaria
Delicias da lana;;;Rua Maria Pereira, 117 - Manuel Dias Branco, Fortaleza - CE, 60190;;;padaria
Paes;;;R. Bartolomeu de Gusmão, 1025 - Fátima, Fortaleza - CE, 60415-170;;;padaria
Confeitaria Pra Sentir;5.0;2 comentários;Alameda Eliane Lúcia, 62 - Cidade 2000, Fortaleza - CE, 60190-150;Confeitaria;;padaria
Padaria Fort Pão;4.1;7 comentários;Av. Francisco Sá, 3636 - Loja 3 - Carlito Pamplona, Fortaleza - CE, 60310-001;Padaria;;padaria
CafécumBolo;;;R. Rodrigues Júnior - Centro, Fortaleza - CE, 60060-090;;;padaria
Padaria;4.4;8 comentários;Av. Pasteur - Carlito Pamplona, Fortaleza - CE, 60355-000;Padaria;;padaria
Padaria;4.5;4 comentários;Tv. Raimundo, 149 - Jacarecanga, Fortaleza - CE, 60311-040;Padaria;;padaria
L'escale Shopping Central;4.4;242 comentários;R. Sen. Pompeu, 856 - Centro, Fortaleza - CE, 60025-000;$$;;padaria
Padaria;4.0;2 comentários;Rua Virgílio Brigido, 1128 - Pres. Kennedy, Fortaleza - CE, 60355-050;Padaria;;padaria
Panificadora DÁTOLLO;3.5;15 comentários;R. Jacaúna, 707 - Barra do Ceará, Fortaleza - CE, 60332-530;Padaria;;padaria
Panificadora Paneva Confeitaria;5.0;2 comentários;R. Martins de Carvalho, 1944 - Granja Lisboa, Fortaleza - CE, 60540-178;Padaria;;padaria
Eugeni bolos e doces;5.0;3 comentários;Alameda Telma, 298 - Cidade 2000, Fortaleza - CE, 60190-290;Loja de bolos;;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar;4.4;554 comentários;Av. Senador Virgílio Távora, 2270 - Dionísio Torres, Fortaleza - CE, 60170-251;Supermercado;20 min;padaria
Padaria Lorenzo;3.4;10 comentários;R. Sen. Pompeu, 2354 - Benfica, Fortaleza - CE, 60025-002;Padaria;;padaria
Padaia;;;Rua Tulipa - Barra do Ceará, Fortaleza - CE, 60330-520;;;padaria
Romana;;;R. Major Facundo, 566 - Centro, Fortaleza - CE, 60025-100;$$;25 min a 1 h;padaria
Trigobia Comercio De Trigo Ltda;;;R. Manoel Arruda, 120 - Messejana, Fortaleza - CE, 60842-090;;;padaria
Wg Bolos;4.3;10 comentários;Av. Duque de Caxias, 455A - Centro, Fortaleza - CE, 60035-110;Loja de bolos;;padaria
IMPERIO DO BOLO GOURMET;5.0;Um comentário;R. Barão do Rio Branco, 1308 - Centro, Fortaleza - CE, 60025-060;Loja de bolos;;padaria
IMPERIO DO BOLO;4.6;7 comentários;R. Edgar Borges, 74 - Centro, Fortaleza - CE, 60050-000;Doceria;;padaria
Casa do Chocolate;4.5;842 comentários;Av. Duque de Caxias, 425 - Centro, Fortaleza - CE, 60035-111;Loja;20 min;padaria
Lanches;4.5;2 comentários;R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010;Cafeteria;;padaria
Padaria Benfica;;;Benfica, Fortaleza - CE, 60020-181;;;padaria
Ceiça Bolos;5.0;Um comentário;Rua Solon Pinheiro, 831 - José Bonifacio, Fortaleza - CE, 60050-040;Loja de bolos;;padaria
Chocolates Paloma;4.6;16 comentários;(85) 99944-2291;;;padaria
Deliciale_Confeitaria;;;R. Floriano Peixoto, 171 - Centro, Fortaleza - CE, 60025-130;;;padaria
Santa Maria Café;2.8;36 comentários;(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE;Cafeteria;;padaria
Mercearia O Bené;3.0;5 comentários;R. Vinte e Cinco de Março, 150 A - Centro, Fortaleza - CE, 60060-120;Mercado em Fortaleza, Ceará;;padaria
Bomboniere;4.0;3 comentários;R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110;Doceria;;padaria
Rei dos Chocolates;;;R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110;;;padaria
kit festa fortaleza ''CACAU FESTA'';1.7;41 comentários;bela cruz - Farias Brito, Fortaleza - CE, 60011-120;Confeitaria;;padaria
Amarú Cosméticos & Baby;4.8;17 comentários;R. Pedro Pereira, 151 - Centro, Fortaleza - CE, 60035-000;Loja de cosmético em Fortaleza, Ceará;;padaria
MALHY Cozinhas Industriais;4.0;Um comentário;Rua 24 de Maio, 1019 - Centro, Fortaleza - CE, 60035-110;Loja de artigos domésticos em Fortaleza, Ceará;;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar (São Gerardo);4.3;1.995 comentários;Av. Bezerra de Menezes, 1498/1548 - São Gerardo, Fortaleza - CE, 60325-001;Supermercado;20 min;padaria
Jotacê Carnes & Grill - Benfica;3.9;7 comentários;Av. Domingos Olímpio, 387 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-081;Açougue;;padaria
super Uchôa;4.0;3 comentários;Fortaleza - Zone 1, Fortaleza - CE;Supermercado;;padaria
Fortaleza Ceará;;;Av. da Abolição - Meireles, Fortaleza - CE, 60125-160;;;padaria
Nova Oriental;3.0;Um comentário;R. Edgar Borges, 32 - Centro, Fortaleza - CE, 60050-000;Loja em Fortaleza, Ceará;;padaria
Paraíba Importados;4.9;10 comentários;Centro, Fortaleza - CE, 60050-000;Loja em Fortaleza, Ceará;;padaria
#Gôndolas - Instalações Comerciais;5.0;Um comentário;R. Pedro Borges, 30 - Centro, Fortaleza - CE, 60055-110;Moveleiro;;padaria
Óticas Boris Loja 07: Óculos de Grau, Óculos de Sol e Alianças em Fortaleza CE;5.0;40 comentários;R. Pedro Pereira, 554 - Loja 07 - Centro, Fortaleza - CE, 60035-000;Ótica em Fortaleza, Ceará;;padaria
Máxima Fidelidade;;;Palácio do Progresso - R. do Pocinho, Nº 33 - Loja 3 - Centro, Fortaleza - CE, 60055-110;;;padaria
Super Lagoa;;;Rua Solon Pinheiro, 136 - Centro, Fortaleza - CE, 60050-040;Supermercado;20 min;padaria
Leve & natural;4.3;4 comentários;R. Barão do Rio Branco, 2027 - José Bonifacio, Fortaleza - CE, 60025-061;Lanchonete;;padaria
Lanchonete Hiper Lanche;4.0;Um comentário;Rua General Bezerril, 593 - Centro, Fortaleza - CE, 60055-100;Lanchonete;;padaria
Fortaleza;4.0;Um comentário;R. Esperança - Vicente Pinzon, Fortaleza - CE, 60181-200;Armazém;;padaria
Esquina das Variedades;5.0;3 comentários;R. Pedro Pereira, 732 - Centro, Fortaleza - CE, 60035-000;Loja de variedades em Fortaleza, Ceará;10 min a 1 h;padaria
Remap Elétrica e Iluminação Ltda Me;4.4;18 comentários;R. Pedro 1, 619 A - Centro, Fortaleza - CE, 60035-100;Loja de iluminação em Fortaleza, Ceará;;padaria
Dr. Visão - Ótica em Fortaleza;4.3;18 comentários;R. Pedro Pereira, n° 530 - Loja 01 - Centro, Fortaleza - CE, 60035-000;Ótica em Fortaleza, Ceará;;padaria
Shopping Dos Livros;3.3;3 comentários;Rua General Bezerril, 420 - Centro, Fortaleza - CE, 60055-100;Livraria em Fortaleza, Ceará;;padaria
PRN Comércio de Confecções;;;Av. Duque de Caxias, 235 - Centro, Fortaleza - CE, 60035-110;;;padaria
Condomínio do Edifício Atlantic Hills;4.7;15 comentários;R. Gothardo Moraes, 155 - Papicu, Fortaleza - CE, 60190-801;Complexo de condomínio em Fortaleza, Ceará;;padaria
Construmix;4.5;4 comentários;Condomínio Edifício Gal Tiburcio - loja 4, R. São Paulo, 32 - Centro, Fortaleza - CE;Loja de ferragens em Fortaleza, Ceará;;padaria
j alves e oliveira ltda;3.0;Um comentário;R. Sen. Pompeu, 940 - Centro, Fortaleza - CE, 60025-000;Loja em Fortaleza, Ceará;15 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar;4.4;840 comentários;Shop. Aldeota - Av. Dom Luís, 500 - Lj.40 - Aldeota, Fortaleza - CE, 60160-230;Supermercado;10 min;padaria
Elétrica Fortaleza;5.0;3 comentários;R. Pedro 1, 639 - Centro, Fortaleza - CE, 60035-100;Loja de materiais elétricos em Fortaleza, Ceará;;padaria
A Esmeralda;4.0;6 comentários;R. Guilherme Rocha, 250 - Centro, Fortaleza - CE, 60030-140;Loja de roupa em Fortaleza, Ceará;;padaria
Fardamentos Intuito Fatal;4.0;3 comentários;Rua Conselheiro Tristão, 622 - José Bonifacio, Fortaleza - CE, 60050-100;Loja de uniformes em Fortaleza, Ceará;;padaria
Via Cosméticos;5.0;7 comentários;R. Floriano Peixoto, 577 - Centro, Fortaleza - CE, 60025-130;Loja de cosmético em Fortaleza, Ceará;;padaria
Perfecta Curitiba;4.5;4 comentários;Av. Aguanambi, 837 - Fátima, Fortaleza - CE, 60040-290;Equipamentos de panificação em Fortaleza, Ceará;;padaria
Skinão das Ferragens;5.0;3 comentários;R. São Paulo, 32 - Loja 02 - Centro, Fortaleza - CE, 60030-100;Loja de ferramentas em Fortaleza, Ceará;;padaria
Precision Ótica;3.0;4 comentários;R. da Assunção, 511 - Centro, Fortaleza - CE, 60050-010;Ótica em Fortaleza, Ceará;;padaria
Simag - Distribuidora de Produtos de Limpeza.;4.4;12 comentários;Av. Visconde do Rio Branco, 1714 - Centro, Fortaleza - CE, 60055-170;Serviço de distribuição em Fortaleza, Ceará;;padaria
Grotta;;;R. Floriano Peixoto, 768 - Centro, Fortaleza - CE, 60025-130;;;padaria
Cirúrgica Fortaleza;2.8;5 comentários;R. Barão do Rio Branco, 1731 - Centro, Fortaleza - CE, 60025-061;Loja de artigos hospitalares em Fortaleza, Ceará;;padaria
Churros Baia;;;Centro, Fortaleza - CE, 60050-040;;;padaria
Bolos Caseiros Artesanais;5.0;Um comentário;R. Dr. Gilberto Studart, 2980 - Manuel Dias Branco, Fortaleza - CE, 60191-365;Loja de bolos;;padaria
Bolo do Céu;4.1;7 comentários;Rua Joaquim Magalhães, 1049,5 Altos - Benfica, Fortaleza - CE, 60040-125;Lanchonete;;padaria
Pastelaria Araújo;;;R. dos Cajueiros, 1577 - Dunas, Fortaleza - CE, 60191-665;;;padaria
