NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Hospital Geral de Fortaleza (HGF);3.9;100 comentários;R. Ávila Goularte, 900 - Papicu, Fortaleza - CE, 60150-160;Hospital geral em Fortaleza, Ceará;;drive thru
Ban Ban Calçados RioMar: Sapatos Femininos, Masculinos, Infantil, Fortaleza CE;4.3;485 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065;Loja de calçado em Fortaleza, Ceará;15 min;drive thru
Extrafarma Duque de Caxias;4.0;34 comentários;Av. Duque de Caxias, 808 - Centro, Fortaleza - CE, 60035-110;Farmácia em Fortaleza, Ceará;15 min;drive thru
Jambalera confeitaria vegana;5.0;20 comentários;Av. Domingos Olímpio, 391 - José Bonifacio, Fortaleza - CE, 60040-081;Confeitaria;;drive thru
POLO WEAR;4.5;948 comentários;Av. Washington Soares, 85 - Loja 621 - Edson Queiroz, Fortaleza - CE, 60811-341;Loja de roupa em Fortaleza, Ceará;15 min;drive thru
Tendicell;5.0;2 comentários;Av. Duque de Caxias, 114 - Centro, Fortaleza - CE, 60035-110;Loja de celulares em Fortaleza, Ceará;;drive thru
Galeria Frangão;;;RESIDÊNCIA CIDADE - RUA 16 CID JD, QD 08 LT 06 12, AP 102 - JARDIM II, Fortaleza - CE, 60748-445;;;drive thru
Loja Oficial Mormaii Shopping RioMar Fortaleza - CE;;;Shopping Rio Mar - R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;;;drive thru
Smart Games;4.9;1.565 comentários;R. Sen. Pompeu, 1099 - Centro, Fortaleza - CE, 60025-000;Loja de videogame em Fortaleza, Ceará;10 min;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Feijoada Brasil;4.2;10 comentários;Av. das Adenanteras, 689a - Cidade 2000, Fortaleza - CE, 60190-560;Delivery;;drive thru
Iaçá: Açai, Distribuidora, Polpa, Açai do Pará, Açai Iaça, Belém, Fortaleza CE;5.0;8 comentários;R. Sen. Alencar, 652 - Loja 2 - Centro, Fortaleza - CE, 60030-050;Delivery;;drive thru
Vibe 085;4.6;172 comentários;Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220;$$;1,5-4,5 horas;drive thru
Livraria e Papelaria Interativa;4.0;158 comentários;R. Major Facundo, 874 - Centro, Fortaleza - CE, 60025-100;Livraria em Fortaleza, Ceará;;drive thru
Centro de Eventos do Ceará;;;Av. Washington Soares, 999 - Edson Queiroz, Fortaleza - CE;Local para eventos em Fortaleza, Ceará;;drive thru
Suits Instinto Br;4.7;67 comentários;Av. Tristão Gonçalves, 765 - Centro, Fortaleza - CE, 60015-000;Loja de roupas para ocasiões formais em Fortaleza, Ceará;;drive thru
Aroma e bombom doces e salgados;5.0;3 comentários;Alameda dos Lírios, Quadra 21 - número 355 - Cidade 2000, Fortaleza - CE, 60190-530;Doceria;;drive thru
Só Livros Fortaleza;4.6;192 comentários;Rua 24 de Maio, 822 - loja 15 Shopping Center Maio Centro /whats (85) 98888 4000 / 10x no cartão, Fortaleza - CE, 60020-000;Sebo em Fortaleza, Ceará;20 min;drive thru
Classicline;5.0;12 comentários;Av. Santos Dumont, 266 - Centro, Fortaleza - CE, 60150-160;Loja de DVDs em Fortaleza, Ceará;;drive thru
New Fashion Flores;4.9;9 comentários;R. Pedro Borges, 135 - Centro, Fortaleza - CE, 60055-110;Floricultura em Fortaleza, Ceará;;drive thru
HICK CELL;4.4;14 comentários;R. Guilherme Rocha, 166 - Centro, Fortaleza - CE, 60030-140;Loja de eletrônicos em Fortaleza, Ceará;;drive thru
Sh82 Café;5.0;10 comentários;R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130;Cafeteria;;drive thru
Tech Store - Assistência técnica em Smartphone e Tablets;4.2;60 comentários;R. Major Facundo, 1011 - Centro, Fortaleza - CE, 60025-100;Loja de celulares em Fortaleza, Ceará;;drive thru
Moncloa Tea Boutique;4.8;20 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065;Loja de chás;;drive thru
Fortaleza Ceará;;;Av. da Abolição - Meireles, Fortaleza - CE, 60125-160;;;drive thru
Carimbos Automático Carimbos MSD/Gráfica Rápida;4.8;32 comentários;R. Barão do Rio Branco, 1224 - Centro, Fortaleza - CE, 60025-060;Loja de carimbos em Fortaleza, Ceará;;drive thru
Ld Multimarcas;5.0;2 comentários;R. Dr. Gilberto Studart, 2865 A - Manuel Dias Branco, Fortaleza - CE, 60191-365;Loja de moda masculina em Fortaleza, Ceará;;drive thru
Núcleotec;4.6;120 comentários;Av. Domingos Olímpio, 591A - José Bonifacio, Fortaleza - CE, 60040-115;Assistência técnica em Fortaleza, Ceará;20 min a 1 h;drive thru
IMPERIO DO BOLO;4.6;7 comentários;R. Edgar Borges, 74 - Centro, Fortaleza - CE, 60050-000;Doceria;;drive thru
Floricultura Cantinho das Flores;4.5;24 comentários;R. Franklin Távora, 220 - Centro, Fortaleza - CE, 60150-110;Floricultura em Fortaleza, Ceará;;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Comercial de Estivas e Cereais Giovanna;4.6;7 comentários;Rua Governador Sampaio, 92 - Centro, Fortaleza - CE, 60055-050;Limpeza;;drive thru
Tabacaria Smoking Cash (Quiosque);5.0;5 comentários;R. Sen. Pompeu, 1099 - Centro, Fortaleza - CE, 60020-000;Tabacaria em Fortaleza, Ceará;10 min;drive thru
Sonhar buffet móvel;5.0;Um comentário;R. Barão de Aratanha, 704 - José Bonifacio, Fortaleza - CE, 60050-071;Buffet de doces e sobremesas;;drive thru
Azilado Em Games;4.4;414 comentários;Corredor Principal Ao Lado Da VIVO - Av. Washington Soares, 85 - Loja 33B - Edson Queiroz, Fortaleza - CE, 60811-900;Loja de informática em Fortaleza, Ceará;;drive thru
CRC Pet;4.8;52 comentários;Av. Duque de Caxias, 12 - Centro, Fortaleza - CE, 60035-110;Pet Shop;;drive thru
Universo Nerd - Ce;;;R. Gen. Sampaio, 1193 - Centro, Fortaleza - CE, 60020-030;;;drive thru
ORTOBOM CENTRO FORTALEZA;4.9;139 comentários;R. Pedro Pereira, 267 - Centro, Fortaleza - CE, 60035-000;Loja de colchões em Fortaleza, Ceará;;drive thru
CRC Pet -Loja I;4.7;109 comentários;R. Conde d'Eu, 521 - Centro, Fortaleza - CE, 60055-070;Pet shop em Fortaleza, Ceará;;drive thru
Casa Veneza Calçados;4.0;5 comentários;Rua Major Facundo, 630 com Liberato Barroso Rua Major Facundo, Praça do Ferreira, 604 - Centro, Fortaleza - CE, 60025-080;Loja de calçado em Fortaleza, Ceará;;drive thru
Lojas Center Aço Fortaleza - Gondolas e Prateleiras;4.3;49 comentários;Av. Dom Manuel, 1251 - Centro, Fortaleza - CE, 60060-091;Loja de prateleiras;;drive thru
Vitrines Semi-jóias e Folheados;4.9;56 comentários;Rua Barão do Rio Branco, 1071 Edifício Lobrás, 9º andar - Sala 914 - Centro, Fortaleza - CE, 60025-061;Joalheiro atacadista em Fortaleza, Ceará;;drive thru
Rei Leão Outlet;;;R. Sen. Pompeu, 856 - Loja 07 - Shopping Central, Fortaleza - CE, 60025-000;;;drive thru
Top1 suplementos;5.0;3 comentários;R. Barão do Rio Branco, 1620 - Centro, Fortaleza - CE, 60025-060;Loja de vitaminas e suplementos em Fortaleza, Ceará;;drive thru
Ban Ban Calçados Major Facundo: Sapatos Femininos, Masculinos, Infantil, Fortaleza CE;4.5;29 comentários;R. Major Facundo, 484 - Centro, Fortaleza - CE, 60055-100;Loja de calçado em Fortaleza, Ceará;;drive thru
Vivaz Br;3.2;9 comentários;Alameda Maria Doralice, 80 - Cidade 2000, Fortaleza - CE, 60190-170;Loja de roupas de praia em Fortaleza, Ceará;;drive thru
Legal Patas Pet Shop;4.3;70 comentários;R. Carlos Vasconcelos, 1136 - Aldeota, Fortaleza - CE, 60115-170;Pet shop em Fortaleza, Ceará;;drive thru
Sodine Varejo Centro: Papelaria, Material de escritório, Informática, Fortaleza CE;4.2;439 comentários;R. Floriano Peixoto, 230 - Centro, Fortaleza - CE, 60025-130;Loja de produtos de papelaria em Fortaleza, Ceará;20 min a 1 h;drive thru
Clube de Tiro Rios Pro Tactical;5.0;30 comentários;R. Barão do Rio Branco, 2286 - José Bonifacio, Fortaleza - CE, 60025-061;Loja de armas em Fortaleza, Ceará;;drive thru
Nordeste celular Oficial;3.9;30 comentários;R. Pedro 1, 715 - Centro, Fortaleza - CE, 60035-100;Loja de celulares em Fortaleza, Ceará;;drive thru
Lider Peças Shineray Centro: Peças, Motos, Carenagem, em Fortaleza CE;4.5;45 comentários;R. Gen. Clarindo de Queiroz, 770 - Loja 04 - Centro, Fortaleza - CE, 60035-130;Loja de peças para motocicletas em Fortaleza, Ceará;;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Kiosk Hospitalar;5.0;3 comentários;R. Barão do Rio Branco, 1921 - Centro, Fortaleza - CE, 60025-061;Loja de artigos hospitalares em Fortaleza, Ceará;;drive thru
Fort Tudo | Artigos de Decoração, Brinquedos, Utilidades, Bebê, Caça e Pesca em Fortaleza;4.4;3.908 comentários;R. Gen. Sampaio, 1300 - Centro, Fortaleza - CE, 60020-031;Loja de departamento em Fortaleza, Ceará;20 min a 1 h;drive thru
SUPER SAFRA DISTRIBUIDORA DE ALIMENTOS EIRELI;4.3;3 comentários;Rua Governador Sampaio, 338 - Centro, Fortaleza - CE, 60055-050;Atacadista em Fortaleza, Ceará;;drive thru
Cake Mania By Adriana Pessoa;4.5;24 comentários;Alameda Nadja, 334 - Quadra 8 - Cidade 2000, Fortaleza - CE, 60190-230;Confeitaria;;drive thru
Boa Opção;4.8;5 comentários;Rua Bárbara de Alencar, 310 - Centro, Fortaleza - CE, 60140-000;Loja de calçado em Fortaleza, Ceará;;drive thru
COMFER - Material de Construção no Centro de Fortaleza;4.7;7 comentários;R. Pinto Madeira, 11 - Centro, Fortaleza - CE, 60150-000;Loja de materiais de construção em Fortaleza, Ceará;;drive thru
Bolos confeitados - Bolos em fortaleza - Kátia Silva Cakes - Fortaleza (CE);5.0;6 comentários;R. Marconi, 85 - Farias Brito, Fortaleza - CE, 60015-190;Confeitaria;;drive thru
Folha Leve;4.6;54 comentários;Av. Alberto Nepomuceno, 113 - loja 56 - Centro, Fortaleza - CE, 60030-010;Loja de moda feminina em Fortaleza, Ceará;;drive thru
Talismã Essências: Perfume, Difusores, Óleos Essenciais, Perfumaria, Fortaleza CE;4.7;32 comentários;R. Pedro 1, 725 - Centro, Fortaleza - CE, 60035-100;Perfumaria em Fortaleza, Ceará;25 min;drive thru
Lili Bolsas;4.4;51 comentários;R. Major Facundo, 434a - Centro, Fortaleza - CE, 60025-100;Loja de malas e bolsas em Fortaleza, Ceará;15 min a 1 h;drive thru
Casa Fátima;4.4;249 comentários;R. Liberato Barroso, 41 - Centro, Fortaleza - CE, 60030-160;Armarinho em Fortaleza, Ceará;15 min;drive thru
Digital Fotos;4.7;61 comentários;R. Sen. Pompeu, 1391 - Centro, Fortaleza - CE, 60025-001;Loja de artigos para fotografia em Fortaleza, Ceará;20 min;drive thru
DISTRIBUIDORA TROPICAL PNEUS(VENDAS ATACADO);4.4;25 comentários;Rua 24 de Maio, 1115 - Centro, Fortaleza - CE, 60020-001;Serviço de distribuição em Fortaleza, Ceará;;drive thru
GoldenKap;4.8;82 comentários;Rua Gervásio Gurgel, 23 - Centro, Fortaleza - CE, 60060-100;Loja de tapetes em Fortaleza, Ceará;;drive thru
Elétrica Fortaleza;5.0;3 comentários;R. Pedro 1, 639 - Centro, Fortaleza - CE, 60035-100;Loja de materiais elétricos em Fortaleza, Ceará;;drive thru
Catedral Tecidos;4.5;417 comentários;Rua General Bezerril, 48 - Centro, Fortaleza - CE, 60055-100;Loja de tecidos em Fortaleza, Ceará;25 min a 1 h;drive thru
Moto Bonas;4.1;27 comentários;Rua 24 de Maio, 1162 - Centro, Fortaleza - CE, 60020-001;Loja de peças para motocicletas em Fortaleza, Ceará;;drive thru
Herbalife Fortaleza;5.0;Um comentário;R. José Gomes de Moura, 91 - José Bonifacio, Fortaleza - CE, 60040-010;Loja de vitaminas e suplementos em Fortaleza, Ceará;;drive thru
Jô Case;3.8;4 comentários;R. Barão do Rio Branco, 952 - Centro, Fortaleza - CE, 60025-060;Loja de celulares em Fortaleza, Ceará;;drive thru
Ópticas Itamaraty- Centro Fortaleza;4.9;329 comentários;R. Liberato Barroso, 17 - Centro, Fortaleza - CE, 60030-160;Ótica em Fortaleza, Ceará;25 min a 1,5 h;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Prefeitura Municipal de Fortaleza | Paço Municipal;3.7;144 comentários;Rua São José, 01 - Centro, Fortaleza - CE, 60060-170;Prefeitura em Fortaleza, Ceará;;drive thru
Anmap Metais: Fita Nylon, Fivela, Rebite, Mosquetao, Acessorios PET, Fortaleza CE;5.0;138 comentários;R. Sen. Alencar, 760 - Centro, Fortaleza - CE, 60030-050;Loja de suprimentos para animais de estimação em Fortaleza, Ceará;15 min;drive thru
Senhorita Pink;;;Rua São José, 84 - Banca 177 - Centro, Fortaleza - CE, 60060-170;;;drive thru
Infortudo;4.6;13 comentários;Rua Perboyre e Silva, 60 - Centro, Fortaleza - CE, 60030-200;Loja de informática em Fortaleza, Ceará;;drive thru
Galeria Itália;5.0;7 comentários;Rua General Bezerril 706, R. Edgar Borges, 77 - Centro, Fortaleza - CE, 60055-100;Loja de moda feminina em Fortaleza, Ceará;;drive thru
Edson Livros;4.5;2 comentários;Rua General Bezerril, 390 - Centro, Fortaleza - CE, 60055-100;Livraria em Fortaleza, Ceará;;drive thru
CABEMCE - Caixa Beneficente dos Militares do Ceará;4.1;60 comentários;Av. Domingos Olímpio, 1589 - Farias Brito, Fortaleza - CE, 60015-103;Assistente social em Fortaleza, Ceará;;drive thru
Master Clinica;5.0;4 comentários;Rua Pedro Pereira 460 sala 308 3* Andar - Centro, Fortaleza - CE, 60035-000;Clínica oftalmológica em Fortaleza, Ceará;;drive thru
Livraria 4 Idiomas;3.9;51 comentários;Praça dos Leões - Rua General Bezerril, 396 - Centro, Fortaleza - CE, 60055-100;Livraria em Fortaleza, Ceará;;drive thru
KSA Conceito;5.0;32 comentários;R. Andrade Furtado, 2530 - Manuel Dias Branco, Fortaleza - CE, 60191-345;Loja de roupa em Fortaleza, Ceará;;drive thru
Rey Cell;4.9;19 comentários;Loja 05 - Mercadão Shopping, Rua 24 de Maio, 411 - Centro, Fortaleza - CE, 60020-000;Loja de celulares em Fortaleza, Ceará;10 min;drive thru
Dulare Móveis e Eletros;1.4;70 comentários;R. Barão do Rio Branco, 1189 - Centro, Fortaleza - CE, 60025-060;Loja de móveis em Fortaleza, Ceará;;drive thru
Flávio Pulseiras e Fornituras;4.2;61 comentários;Galeria Pedro Jorge, R. Sen. Pompeu, 834 - Loja 33 - Centro, Fortaleza - CE, 60025-000;Loja de variedades em Fortaleza, Ceará;;drive thru
Yexb Jeans;;;Av. Visconde do Rio Branco, 1592 - Centro, Fortaleza - CE, 60055-170;;;drive thru
Anmap Sintéticos: Fivelas, Aviamentos, Fitas para alças, Carpete, Fortaleza CE;5.0;117 comentários;Av. Tristão Gonçalves, 199 - Centro, Fortaleza - CE, 60015-000;Loja de artigos de couro em Fortaleza, Ceará;;drive thru
Ponto Das Crianças;4.9;19 comentários;R. Edgar Borges, 28 - Centro, Fortaleza - CE, 60050-000;Loja para bebê em Fortaleza, Ceará;;drive thru
Miranda biju;5.0;Um comentário;R. Sobral, 160 - loja 59 - Centro, Fortaleza - CE, 60030-030;Loja de acessórios de moda em Fortaleza, Ceará;;drive thru
Irmão Luis Conserto de Óculos: Armação, Haste, Perna, Centro, Fortaleza CE;4.9;17 comentários;R. Guilherme Rocha, 253 - 8º andar - Centro, Fortaleza - CE, 60030-140;Ótica em Fortaleza, Ceará;;drive thru
Groaíras Variedades;4.6;14 comentários;R. Gen. Sampaio, 599 - Centro, Fortaleza - CE, 60020-030;Loja de variedades em Fortaleza, Ceará;;drive thru
Óculos Atípico;3.8;6 comentários;Rua Barão do Rio Branco 1182 Shopping Camelo 2 - Centro, Fortaleza - CE, 60025-060;Ótica em Fortaleza, Ceará;15 min;drive thru
SM DANI;;;Av. Visconde do Rio Branco, 1605 - Centro, Fortaleza - CE, 60055-170;;;drive thru
Arrasa Pet - Fabricante De Acessórios Pet;4.6;10 comentários;R. Sen. Pompeu, 856 - loja 90 - Centro, Fortaleza - CE, 60025-000;Pet shop em Fortaleza, Ceará;;drive thru
Trok Tok Musical;4.6;602 comentários;R. Pedro Pereira, 604 - Centro, Fortaleza - CE, 60035-000;Loja de instrumentos musicais em Fortaleza, Ceará;15 min a 1 h;drive thru
Anmap Borracha: Tatame, EVA, Grama Sintetica, Piso Emborrachado, Fortaleza CE;5.0;136 comentários;R. Sen. Alencar, 652 - Centro, Fortaleza - CE, 60030-050;Fornecedor de produtos de borracha em Fortaleza, Ceará;20 min;drive thru
Casa Católica - Artigos Religiosos;4.7;16 comentários;R. Major Facundo, 353 - Centro, Fortaleza - CE, 60025-100;Loja de artigos religiosos em Fortaleza, Ceará;;drive thru
Nacional Dental;4.5;116 comentários;Rua: Marcondes Pereira, 550 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-060;Loja em Fortaleza, Ceará;15 min;drive thru
Perfil Molduras | Quadros e Espelhos em Fortaleza;4.7;422 comentários;R. Vinte e Cinco de Março, 375 - Centro, Fortaleza - CE, 60060-120;Loja de molduras em Fortaleza, Ceará;15 min;drive thru
Megacell Fortaleza;;;Barão do rio Branco 1121, R. Liberato Barroso, 131, Fortaleza - CE, 60025-060;;;drive thru
