NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Café & Company,5.0,2 comentários,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,,cafeteria,,,,,-3.7340191,-38.478692,Papicu,
The Coffee,4.3,9 comentários,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria,,,,,,,Meireles,
The Coffee Beira Mar,4.6,111 comentários,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,,cafeteria,,,,,-3.7258566,-38.4972445,Meireles,
Mercado do Café - Benfica,4.2,3.780 comentários,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,,cafeteria,,,,,,,Gentilândia,
Nüsse Café,4.2,39 comentários,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,"20 min a 1,5 h",cafeteria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7360203,-38.4955919,Aldeota,
Le Pain Le Café (Jardins Open Mall),4.5,285 comentários,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,10 min a 1 h,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Aldeota,
Cafeteria Plaza,4.7,11 comentários,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,,cafeteria,,,,,-3.7355542,-38.5016839,Aldeota,
Go Coffee Avenida Padre Antônio Tomás,4.6,16 comentários,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,,cafeteria,,,,,,,Aldeota,
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7302632,-38.5112711,Aldeota,
Brígida cafeteria,,,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",,,cafeteria,,,,,,,Papicu,
