,NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
690,Panificadora,,,"Av. Zezé Diogo, 112 - Cais do Porto, Fortaleza - CE, 60180-005",,,padaria
691,Padaria Helloysa,4.0,4 comentários,"R. Audízio Mosca de Carvalho - Manuel Dias Branco, Fortaleza - CE, 60191-520",Padaria,15 min,padaria
692,Padaria o bolinha,5.0,2 comentários,"R. Castro Monte, 11 - Varjota, Fortaleza - CE, 60175-230",Padaria,,padaria
693,Padaria Vitoria,,,"Av. Central, 215 - Cidade 2000, Fortaleza - CE, 60190-611",,,padaria
694,Padaria monte carmelo,4.8,9 comentários,"R. Floriano Peixoto, 916 - Centro, Fortaleza - CE, 60025-130",Padaria,30 min,padaria
695,Padaria delicias de pães,,,"R. Lima Barreto, 18 - Vicente Pinzon, Fortaleza - CE, 60184-230",,,padaria
696,Padaria Tripane,4.2,11 comentários,"Rua Nossa Senhora das Graças, 1079 - Cristo Redentor, Fortaleza - CE, 60310-770",Padaria,,padaria
697,FRANGOPAN,4.4,115 comentários,"Av. Sgt. Hermínio Sampaio, 2688 - Bairro Ellery, Fortaleza - CE, 60320-501",$,10 min,padaria
698,Padaria Lisieux,4.1,357 comentários,"Av. Sgt. Hermínio Sampaio, 3568 - Pres. Kennedy, Fortaleza - CE, 60355-512",$,10 min,padaria
699,Padaria Trigo de Ouro,3.0,Um comentário,"R. dos Cajueiros, 1537 - Manuel Dias Branco, Fortaleza - CE, 60191-665",Padaria,,padaria
700,Padaria Pet Fortaleza,4.9,40 comentários,"Rua Doutor José Lourenço, 870. Lojas 5 e 6 - Aldeota, Fortaleza - CE, 60115-280","Pet shop em Fortaleza, Ceará",15-45 min,padaria
701,Mercado e Padaria Vó Mozinha,,,"R. Antônio Gomes Guimarães, 159 - Manuel Dias Branco, Fortaleza - CE, 60191-195",,,padaria
702,O Elias Padaria,3.5,4 comentários,"Rua Professor Luíz Costa - Vicente Pinzon, Fortaleza - CE, 60175-550",Padaria,,padaria
703,Padaria Bom Preço,,,"R. Socorro Gomes - Manuel Dias Branco, Fortaleza - CE, 60191-662",,,padaria
704,Padaria,4.2,22 comentários,"R. Fenelon Bomilcar, 304 - Jardim Iracema, Fortaleza - CE, 60330-705",Padaria,,padaria
705,Mercado do Café - Benfica,4.2,3.780 comentários,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,,padaria
706,Panificadora GG,5.0,2 comentários,"R. Dom Hélio Campos, 80 - Carlito Pamplona, Fortaleza - CE, 60311-630",Padaria,,padaria
707,Padaria Praia,,,"R. José Mauro, 2-20 - Antonio Diogo, Fortaleza - CE, 60182-535",,,padaria
708,Pão do Jorge - Fermentação Natural por Encomenda,,,"Parque del Sol - Cidade dos Funcionários, Fortaleza - CE, 60824-020",,,padaria
709,DVWR Padaria de Delícias,5.0,4 comentários,"R. São Crisóstomo, 100 - Cais do Porto, Fortaleza - CE, 60180-310",Confeitaria,,padaria
710,Padaria,5.0,3 comentários,"R. Almírante Rufino, 473 - Vila União, Fortaleza - CE, 60420-075",Padaria,,padaria
711,Padariaopçõeslanches,,,"Av. Dos Jangadeiros, 1115 - Mucuripe, Fortaleza - CE, 60175-440",,,padaria
712,Mercadinho e Padaria Fortaleza,4.5,8 comentários,"R. José Vilar - Meireles, Fortaleza - CE, 60125-000",Supermercado,15 min,padaria
713,Padaria Vó Dedé,3.0,3 comentários,"Av. Coronel Miguel Dias, 1389 - Luciano Cavalcante, Fortaleza - CE, 60810-160",Padaria,,padaria
714,PADARIA LINA,5.0,2 comentários,"R. Antônio Pompeu - Centro, Fortaleza - CE, 60040-000",Padaria,,padaria
715,Flôr do Café Confeitaria,4.6,176 comentários,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,10 min,padaria
716,Empório do Bolo - Cidade 2000,4.5,130 comentários,"Av. Central, 248 - Cidade 2000, Fortaleza - CE, 60190-610",Confeitaria,15 min,padaria
717,Padaria do Joao,,,"R. Central - Cajazeiras, Fortaleza - CE, 60000-000",,,padaria
718,Chiquita Bacana,,,"R. Pedro Balbino, 158 - Cidade 2000, Fortaleza - CE, 60191-680",,,padaria
719,Praiadomorrobranco,,,"Centro, Fortaleza - CE, 60050-040",,,padaria
720,Bolos Da Flor,,,"Alameda Telma, 106 - Cidade 2000, Fortaleza - CE, 60190-250",,,padaria
721,"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",padaria
722,Panificadora Romana Praça do Ferreira,2.9,34 comentários,"R. Barão do Rio Branco, 992 - Centro, Fortaleza - CE, 60025-903",Padaria,,padaria
723,Empório Ribeira do Porto,4.6,230 comentários,"Av. Litorânea, 1000 - Sabiaguaba, Aquiraz - CE, 61700-000",Padaria,10-45 min,padaria
724,Mil Doçuras,4.7,36 comentários,"R. Vitória da Conquista, 1453 - Manuel Dias Branco, Fortaleza - CE, 60191-670",Confeitaria,,padaria
725,"Pasteleria ""Maju""",,,"Rua Solon Pinheiro, 1015 - Centro, Fortaleza - CE, 60050-041",,,padaria
726,Puro Amor - Doces e Salgados,4.0,355 comentários,"R. Sen. Pompeu, 2764 - Loja B - Benfica, Fortaleza - CE, 60025-002",$,10 min,padaria
727,Cafeteria Prosa e Queijos,4.9,40 comentários,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,15 min,padaria
728,Padaria São Raimundo,4.3,12 comentários,"R. Antônio Atualpa Rodrigues - Antonio Diogo, Fortaleza - CE",Padaria,,padaria
729,Padaria Pão e Pizza,4.0,8 comentários,"Av. dos Flamboyants, 95 - Cidade 2000, Fortaleza - CE, 60190-570",Padaria,,padaria
730,Lá na Lícia,,,"R. Vilebaldo Aguiar, 3000 - Manuel Dias Branco, Fortaleza - CE, 60191-375",,,padaria
731,Dream Place Ateliê,5.0,9 comentários,"R. Jaime Benévolo, 708 - José Bonifacio, Fortaleza - CE, 60050-080",Confeitaria,,padaria
732,Cake Mania By Adriana Pessoa,4.5,24 comentários,"Alameda Nadja, 334 - Quadra 8 - Cidade 2000, Fortaleza - CE, 60190-230",Confeitaria,,padaria
733,Padaria Armorial,4.2,10 comentários,"Av. Visconde do Rio Branco, 2565 - E - Joaquim Távora (Fortaleza), Fortaleza - CE, 60055-171",Padaria,,padaria
734,Padaria Sabor De Pāo,3.8,14 comentários,"R. Paulo Águiar, 1111 - Vicente Pinzon, Fortaleza - CE, 60184-310",Padaria,,padaria
735,Padaria Do Trigo,1.0,Um comentário,"Av. Pintor Antônio Bandeira - Cais do Porto, Fortaleza - CE, 60180-476",Padaria,,padaria
736,Padaria Padoca,,,"Rua Dona Leopoldina, 1681 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-482",,,padaria
737,Pão de Açúcar,4.2,2.721 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Supermercado,15 min,padaria
738,Pão Da Hoora Padaria,,,"R. Antônio Augusto, 630 - Meireles, Fortaleza - CE, 60110-370",,,padaria
739,Imperial Delicatessen,4.1,13 comentários,"Av. Bezerra de Menezes, 2485 - Parquelândia, Fortaleza - CE, 60325-105",Padaria,,padaria
740,Confeitaria Sabor E Requinte,2.0,Um comentário,"R. Barão do Rio Branco, 1980 - Centro, Fortaleza - CE",Padaria,,padaria
741,Thalita pães e cafés,,,"Av. G, 291 - Pref. José Walter, Fortaleza - CE, 60750-060",Restaurante,15 min,padaria
742,Rei Dos Pasteis E Salgados Padaria,,,"Centro, Fortaleza - CE, 60035-110",,,padaria
743,Cheirinho de Pão,5.0,Um comentário,"R. Doralice Costa, 353 - Luciano Cavalcante, Fortaleza - CE, 60810-680",Padaria,,padaria
744,Padaria,,,"R. Rev. Bolivar Pinto Bandeira, 237 - Luciano Cavalcante, Fortaleza - CE, 60811-310",,,padaria
745,Santeq Store Equipamentos,,,"Av. Dom Manuel, 1211 - Centro, Fortaleza - CE, 60060-091",Equipamentos de panificação,25 min,padaria
746,Delicias da lana,,,"Rua Maria Pereira, 117 - Manuel Dias Branco, Fortaleza - CE, 60190",,,padaria
747,Paes,,,"R. Bartolomeu de Gusmão, 1025 - Fátima, Fortaleza - CE, 60415-170",,,padaria
748,Confeitaria Pra Sentir,5.0,2 comentários,"Alameda Eliane Lúcia, 62 - Cidade 2000, Fortaleza - CE, 60190-150",Confeitaria,,padaria
749,Padaria Fort Pão,4.1,7 comentários,"Av. Francisco Sá, 3636 - Loja 3 - Carlito Pamplona, Fortaleza - CE, 60310-001",Padaria,,padaria
750,CafécumBolo,,,"R. Rodrigues Júnior - Centro, Fortaleza - CE, 60060-090",,,padaria
751,Padaria,4.4,8 comentários,"Av. Pasteur - Carlito Pamplona, Fortaleza - CE, 60355-000",Padaria,,padaria
752,Padaria,4.5,4 comentários,"Tv. Raimundo, 149 - Jacarecanga, Fortaleza - CE, 60311-040",Padaria,,padaria
753,L'escale Shopping Central,4.4,242 comentários,"R. Sen. Pompeu, 856 - Centro, Fortaleza - CE, 60025-000",$$,,padaria
754,Padaria,4.0,2 comentários,"Rua Virgílio Brigido, 1128 - Pres. Kennedy, Fortaleza - CE, 60355-050",Padaria,,padaria
755,Panificadora DÁTOLLO,3.5,15 comentários,"R. Jacaúna, 707 - Barra do Ceará, Fortaleza - CE, 60332-530",Padaria,,padaria
756,Panificadora Paneva Confeitaria,5.0,2 comentários,"R. Martins de Carvalho, 1944 - Granja Lisboa, Fortaleza - CE, 60540-178",Padaria,,padaria
757,Eugeni bolos e doces,5.0,3 comentários,"Alameda Telma, 298 - Cidade 2000, Fortaleza - CE, 60190-290",Loja de bolos,,padaria
758,Pão de Açúcar,4.4,554 comentários,"Av. Senador Virgílio Távora, 2270 - Dionísio Torres, Fortaleza - CE, 60170-251",Supermercado,20 min,padaria
