NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
Casa Bendita,,,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",,,cafeteria
Café Canela,3.6,7 comentários,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,,cafeteria
Akele Café,4.9,34 comentários,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,,cafeteria
Lis Café,5.0,Um comentário,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,,cafeteria
Atelier 1913 Cafés Especiais,4.6,47 comentários,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,,cafeteria
Casa do Pão de Queijo RioMar,4.0,29 comentários,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,,cafeteria
Santa Maria Café,2.0,4 comentários,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,,cafeteria
Coffe America,,,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",,,cafeteria
B.LEM,4.4,299 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$,10 min,cafeteria
Vintage Coffee,,,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",,,cafeteria
Consulado Café,4.3,1.399 comentários,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",$$,,cafeteria
Benévolo Café e Gelato,4.5,744 comentários,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",$$,"30 min a 1,5 h",cafeteria
Vai Café,4.4,14 comentários,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
Grão Café e Bistrô,4.0,8 comentários,"R. Joaquim Nabuco, 2829 - Dionísio Torres, Fortaleza - CE, 60125-121",Restaurante,,cafeteria
Novo Café,3.3,6 comentários,"R. João Carvalho, 800 - Aldeota, Fortaleza - CE, 60140-140",Café,,cafeteria
Don Cookies Coffee House,4.9,14 comentários,"Rua Felino Barroso, 1001 - Fátima, Fortaleza - CE, 60050-130",Cafeteria,20 min a 1 h,cafeteria
Café Conceito Bar,5.0,Um comentário,"Av. Beira Mar, 3958 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,,cafeteria
Rose's Cafeteria & Restaurante,4.8,18 comentários,"R. Pedro Borges, 33 - Loja 01 - Centro, Fortaleza - CE, 60055-120",Cafeteria,25 min a 1 h,cafeteria
Chez Café,4.5,366 comentários,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",$$,,cafeteria
Cafeteria Santa Clara Luíza Távora,4.5,380 comentários,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,1-2 horas,cafeteria
Cafe Liguria,5.0,Um comentário,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
Salpetrier Café,4.9,29 comentários,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,,cafeteria
Pâine Panificação Artesanal,,,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",$$,15 min a 1 h,cafeteria
Central Coffee,5.0,Um comentário,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria
Café Iracema,4.0,4 comentários,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,,cafeteria
Vonet Patisserie e Cafeteria,5.0,3 comentários,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,,cafeteria
Cafeteria La Perla,5.0,Um comentário,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,,cafeteria
Pâine croissanterie,4.2,27 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,10 min,cafeteria
Café Portugal,5.0,Um comentário,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,,cafeteria
Bauducco,3.8,13 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,15 min,cafeteria
cafeteria arte de comer,5.0,2 comentários,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,,cafeteria
The Coffee,4.8,45 comentários,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria
Bacio di Latte - Shopping Riomar Fortaleza,3.2,13 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,15 min,cafeteria
Empório da Tapioca,4.3,246 comentários,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,10 min,cafeteria
Sh82 Café,5.0,10 comentários,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria
Dona Rocilda- Cafeteria e Doceria,4.8,31 comentários,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,,cafeteria
Padaria e Confeitaria Vovó Joana - Cocó,4.5,3.456 comentários,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",$$,20 min,cafeteria
Montmarttre (Varjota),4.5,1.665 comentários,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",$$,15-45 min,cafeteria
Saci Pê Tabacaria e Café,4.6,15 comentários,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,15-45 min,cafeteria
Go Coffee Abolição,4.4,25 comentários,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,,cafeteria
Confeitaria Le Chica,4.6,230 comentários,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",$$,25 min,cafeteria
Jardins Café Fortaleza,4.6,50 comentários,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,"1-2,5 horas",cafeteria
Flôr do Café Confeitaria,4.6,176 comentários,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,10 min,cafeteria
Tiamate Coffee Aldeota,5.0,23 comentários,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,,cafeteria
Dom Kidrack'S Cafeteria,4.1,13 comentários,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",$,,cafeteria
Zelig Café Pinacoteca,,,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",,,cafeteria
Le pain Le café,,,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",,,cafeteria
Café Ilha,4.6,38 comentários,"R. dos Cariris, 43 - Térreo - Praia de Iracema, Fortaleza - CE, 60060-230",Cafeteria,"30 min a 1,5 h",cafeteria
Café Arretado,3.7,35 comentários,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Cafeteria,15 min,cafeteria
Los locos coffee,5.0,4 comentários,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria
Padoca Les Roches,4.6,485 comentários,"Parque Manibura, Fortaleza - CE, 60810-350",$$,15 min a 1 h,cafeteria
Santa Maria Café,2.8,36 comentários,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,,cafeteria
Emporio do Edu,,,"Rua Nossa Senhora da Piedade, 11 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-492",,,cafeteria
