NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO
A Esmeralda,Padaria,"R. Guilherme Rocha, 250 - Centro, Fortaleza - CE, 60030-140","Loja De Roupa Em Fortaleza, Ceará",4.0,6,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Fardamentos Intuito Fatal,Padaria,"Rua Conselheiro Tristão, 622 - José Bonifacio, Fortaleza - CE, 60050-100","Loja De Uniformes Em Fortaleza, Ceará",4.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio
Via Cosméticos,Padaria,"R. Floriano Peixoto, 577 - Centro, Fortaleza - CE, 60025-130","Loja De Cosmético Em Fortaleza, Ceará",5.0,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Perfecta Curitiba,Padaria,"Av. Aguanambi, 837 - Fátima, Fortaleza - CE, 60040-290","Equipamentos De Panificação Em Fortaleza, Ceará",4.5,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Fátima
Skinão das Ferragens,Padaria,"R. São Paulo, 32 - Loja 02 - Centro, Fortaleza - CE, 60030-100","Loja De Ferramentas Em Fortaleza, Ceará",5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Precision Ótica,Padaria,"R. da Assunção, 511 - Centro, Fortaleza - CE, 60050-010","Ótica Em Fortaleza, Ceará",3.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Simag - Distribuidora de Produtos de Limpeza.,Padaria,"Av. Visconde do Rio Branco, 1714 - Centro, Fortaleza - CE, 60055-170","Serviço De Distribuição Em Fortaleza, Ceará",4.4,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Grotta,Padaria,"R. Floriano Peixoto, 768 - Centro, Fortaleza - CE, 60025-130",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Cirúrgica Fortaleza,Padaria,"R. Barão do Rio Branco, 1731 - Centro, Fortaleza - CE, 60025-061","Loja De Artigos Hospitalares Em Fortaleza, Ceará",2.8,5,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Churros Baia,Padaria,"Centro, Fortaleza - CE, 60050-040",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Bolos Caseiros Artesanais,Padaria,"R. Dr. Gilberto Studart, 2980 - Manuel Dias Branco, Fortaleza - CE, 60191-365",Loja De Bolos,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Manuel Dias Branco
Bolo do Céu,Padaria,"Rua Joaquim Magalhães, 1049,5 Altos - Benfica, Fortaleza - CE, 60040-125",Lanchonete,4.1,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Pastelaria Araújo,Padaria,"R. dos Cajueiros, 1577 - Dunas, Fortaleza - CE, 60191-665",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dunas
Espaço Gourmet,Padaria,"Av. Duque de Caxias, 101 - Centro, Fortaleza - CE, 60055-170",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
1 2 3 Comercial De Presentes,Padaria,"R. Floriano Peixoto, 809 - Centro, Fortaleza - CE, 60025-131",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Manga Rosa,Padaria,"R. Joaquim Magalhães, 262 - Benfica, Fortaleza - CE, 60040-160",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Lojão Do Atacadista,Padaria,"Rua Governador Sampaio, 25 - Centro, Fortaleza - CE, 60055-050",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Limodas Industrial,Padaria,"R. Barão do Rio Branco, 1092 - Centro, Fortaleza - CE, 60025-061","Loja De Roupa Em Fortaleza, Ceará",3.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Ôxximydog,Restaurante,"R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500",Restaurante,5.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Parquelândia
Restaurante Mariano da Picanha,Restaurante,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",Restaurante,4.0,1231,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
"Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE",Restaurante,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Restaurante,4.5,867,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Papicu
Cabaña Del Primo - Restaurante de Carnes em Fortaleza,Restaurante,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Restaurante,4.6,823,5.0,90.0,0 days 00:05:00,0 days 01:30:00,Papicu
Divino Fogão - Riomar Fortaleza,Restaurante,"Rua Desembargador Lauro Nogueira, 1500 piso L3 sala coml 3030 - Papicu, Fortaleza - CE, 60176-065",Restaurante,4.2,667,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Hard Rock Cafe,Restaurante,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Restaurante,4.7,5290,10.0,90.0,0 days 00:10:00,0 days 01:30:00,Papicu
Delicias da Iaiá,Restaurante,"Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145",Restaurante Brasileiro,4.4,5,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Papicu
Cocina 378,Restaurante,"R. Vilebaldo Aguiar, 378 - Cocó, Fortaleza - CE, 60192-010",Restaurante,4.7,510,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Cocó
Quintal Restaurante,Restaurante,"Av. Desembargador Moreira, 533 - Meireles, Fortaleza - CE, 60170-000",Restaurante,4.6,350,45.0,90.0,0 days 00:45:00,0 days 01:30:00,Meireles
Cemoara Restaurante,Restaurante,"R. Joaquim Nabuco, 166 - Meireles, Fortaleza - CE, 60125-120",Restaurante De Frutos Do Mar,4.4,54,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Santa Grelha,Restaurante,"R. Tibúrcio Cavalcante, 790 - Meireles, Fortaleza - CE, 60125-100",Restaurante,4.7,1799,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Meireles
Cabaña Del Primo,Restaurante,"R. Maria Tomásia, 503 - Aldeota, Fortaleza - CE, 60170-001",Restaurante,4.7,1313,10.0,90.0,0 days 00:10:00,0 days 01:30:00,Aldeota
Balcony Bistro,Restaurante,"R. Frederico Borges, 616 - Meireles, Fortaleza - CE, 60175-040",Restaurante,4.8,227,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Restaurante Mucuripe,Restaurante,"Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121",Restaurante De Frutos Do Mar,4.6,189,180.0,180.0,0 days 03:00:00,0 days 03:00:00,Mucuripe
Restaurante Marquês da Varjota,Restaurante,"R. Frederico Borges, 426 - Meireles, Fortaleza - CE, 60175-040",Restaurante,4.6,1114,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Meireles
