NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO
Salpetrier Café,Cafeteria,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,4.9,29,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Pâine Panificação Artesanal,Cafeteria,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",Cafeteria,0.0,0,15.0,60.0,0 days 00:15:00,0 days 01:00:00,Varjota
Central Coffee,Cafeteria,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Café Iracema,Cafeteria,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,4.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Vonet Patisserie e Cafeteria,Cafeteria,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza)
Cafeteria La Perla,Cafeteria,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Pâine croissanterie,Cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,4.2,27,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Edson Queiroz
Café Portugal,Cafeteria,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Bauducco,Cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,3.8,13,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Edson Queiroz
cafeteria arte de comer,Cafeteria,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito
The Coffee,Cafeteria,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,4.8,45,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Bacio di Latte - Shopping Riomar Fortaleza,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,3.2,13,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Papicu
Empório da Tapioca,Cafeteria,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,4.3,246,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Aldeota
Sh82 Café,Cafeteria,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,5.0,10,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Dona Rocilda- Cafeteria e Doceria,Cafeteria,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,4.8,31,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Jacarecanga
Padaria e Confeitaria Vovó Joana - Cocó,Cafeteria,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",Cafeteria,4.5,3456,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Cocó
Montmarttre (Varjota),Cafeteria,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",Cafeteria,4.5,1665,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Varjota
Saci Pê Tabacaria e Café,Cafeteria,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,4.6,15,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Praia De Iracema
Go Coffee Abolição,Cafeteria,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,4.4,25,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Confeitaria Le Chica,Cafeteria,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",Cafeteria,4.6,230,25.0,25.0,0 days 00:25:00,0 days 00:25:00,Centro
Jardins Café Fortaleza,Cafeteria,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,4.6,50,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Parque Araxá
Flôr do Café Confeitaria,Cafeteria,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,4.6,176,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Centro
Tiamate Coffee Aldeota,Cafeteria,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,5.0,23,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Dom Kidrack'S Cafeteria,Cafeteria,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",Cafeteria,4.1,13,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Zelig Café Pinacoteca,Cafeteria,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Le pain Le café,Cafeteria,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,001
Café Ilha,Cafeteria,"R. dos Cariris, 43 - Térreo - Praia de Iracema, Fortaleza - CE, 60060-230",Cafeteria,4.6,38,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Praia De Iracema
Café Arretado,Cafeteria,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Cafeteria,3.7,35,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Benfica
Los locos coffee,Cafeteria,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Cafeteria,5.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Padoca Les Roches,Cafeteria,"Parque Manibura, Fortaleza - CE, 60810-350",Cafeteria,4.6,485,15.0,60.0,0 days 00:15:00,0 days 01:00:00,Parque Manibura
Santa Maria Café,Cafeteria,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,2.8,36,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Emporio do Edu,Cafeteria,"Rua Nossa Senhora da Piedade, 11 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-492",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza)
Cafeteria deliciosa torta,Cafeteria,"Av. Washington Soares, 747 - Edson Queiroz, Fortaleza - CE, 60811-440",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
The Coffee,Cafeteria,"Av. Beira Mar, 840 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,4.8,59,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Praia De Iracema
Tapiocaria da Bena,Cafeteria,"Rua Santo Antônio, 20 - Benfica, Fortaleza - CE, 60020-090",Cafeteria,4.8,71,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Caffee Lounge,Cafeteria,"Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE, 60320-504",Cafeteria,3.6,13,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Pres. Kennedy
Fettuccine's Massas & Café,Cafeteria,"Rua Padre Luís Figueira, 10 - Aldeota, Fortaleza - CE, 60150-120",Cafeteria,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Empório Del Quartiere,Cafeteria,"R. Jaime Pinheiro, 177 - Guararapes, Fortaleza - CE, 60810-250",Cafeteria,4.5,428,10.0,60.0,0 days 00:10:00,0 days 01:00:00,Guararapes
Café Entalpia - Bairro de Fátima (Cafeteria Temática),Cafeteria,"Av. Aguanambi, 1280 - Loja 5 - Fátima, Fortaleza - CE, 60050-220",Cafeteria,5.0,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Fátima
"Uritu Cafés Especiais: Cafés, Utensílios, Empório, Centro, Fortaleza",Cafeteria,"Rua Dona Leopoldina, 396 - Centro, Fortaleza - CE, 60110-000",Atacadista De Café,4.9,51,15.0,60.0,0 days 00:15:00,0 days 01:00:00,Centro
Coffee cake,Cafeteria,"Av. Aguanambi, 1447 - Fátima, Fortaleza - CE, 60055-401",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Fátima
The Coffee,Cafeteria,"Av. Washington Soares, 4352 - Loja 04 - Parque Manibura, Fortaleza - CE, 60821-750",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Parque Manibura
Valdemar,Cafeteria,"R. Pedro Pereira - Centro, Fortaleza - CE, 60020-030",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Café de Oyá,Cafeteria,"R. Manuelito Moreira, 96 - Benfica, Fortaleza - CE, 60025-210",Bar,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Cafeteria Club Café Rituais - Aeroporto Internacional de Fortaleza,Cafeteria,"Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,3.8,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Serrinha
"Matte & Cia, mate e cia, massas, cafes , caldos, DD Lanches",Cafeteria,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Lanchonete,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Bacio di Latte - Shopping Iguatemi Fortaleza,Cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,4.5,180,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Edson Queiroz
Fortaleza,Cafeteria,"R. Cararú, 04 - Sabiaguaba, Fortaleza - CE, 60835-305",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Sabiaguaba
Cafè Dos Reis,Cafeteria,"Av. Washington Soares, 4294 - Edson Queiroz, Fortaleza - CE, 60810-350",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz
Bellanches,Cafeteria,"R. Castro e Silva, 780 - Centro, Fortaleza - CE, 60030-010",Café,4.4,45,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Tapiocariabia,Cafeteria,"R. Pedro Pereira, 1592 - Centro, Fortaleza - CE, 60035-001",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Cookie Mania Bairro De Fátima,Cafeteria,"Av. Deputado Oswaldo Studart, 40a - Fátima, Fortaleza - CE, 60411-260",Cafeteria,4.8,38,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Fátima
Café do Bigode,Cafeteria,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Loja,4.8,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Cafeteria Club Café Santa Clara Reserva da Família - Aeroporto Internacional de Fortaleza,Cafeteria,"Terminal, Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Serrinha
Café Viriato,Cafeteria,"R. Osvaldo Cruz, 2828 - Dionísio Torres, Fortaleza - CE, 60125-151",Restaurante,4.4,49,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Dionísio Torres
Cafeteria Rituais - Club Café,Cafeteria,"R. Des. Lauro Nogueira, 1500 Livraria Cultura RioMar Fortaleza (2° Piso - Papicu, Fortaleza - CE, 60175-055",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Padaria Evandro Delicatessen,Cafeteria,"R. Carlos Vasconcelos, 2169 - Aldeota, Fortaleza - CE, 60115-171",Cafeteria,4.6,1212,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Aldeota
Jardim Café,Cafeteria,"R. Nogueira Acioli, 891 - Aldeota, Fortaleza - CE, 60110-140",Café,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Cafe GGVP,Cafeteria,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Bless café & açaí,Cafeteria,"R. Soriano Albuquerque, 62 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-470",Cafeteria,5.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza)
Lanches,Cafeteria,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,4.5,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Conveniência Vip Service,Cafeteria,"R. Barão do Rio Branco, 1385 - Centro, Fortaleza - CE, 60025-061",Cafeteria,4.5,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Santa Maria Gourmet,Cafeteria,"Dentro do Hospital Otoclinica - Joaquim Távora (Fortaleza), Fortaleza - CE",Cafeteria,3.6,31,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza)
Go Coffee - Dom Luis,Cafeteria,"Av. Júlio Abreu, 120 - loja 5 - Meireles, Fortaleza - CE, 60160-240",Café,4.1,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Padaria Romana Delicatessen,Cafeteria,"Av. Treze de Maio, 901 - Fátima, Fortaleza - CE, 60040-531",Cafeteria,4.3,3000,25.0,25.0,0 days 00:25:00,0 days 00:25:00,Fátima
Tony Machine,Cafeteria,"Avenida Imperador, 1060 - Centro, Fortaleza - CE, 60015-050",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Cafeteria Família Café,Cafeteria,"R. Rosinha Sampaio, 1869 - Quintino Cunha, Fortaleza - CE, 60346-251",Cafeteria,5.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Quintino Cunha
Bom Café Brasil,Cafeteria,"R. da Assunção, 912 - José Bonifacio, Fortaleza - CE, 60420-430",Torrefação De Café,5.0,28,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio
Tapioca & Cia,Cafeteria,"R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60015-221",Cafeteria,3.4,5,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
"Coffee, Love & Friends",Cafeteria,"Somente Delivery - R. Máximo Linhares, 310 - Cidade dos Funcionários, Fortaleza - CE, 60822-482","Loja De Cestas De Presente Em Fortaleza, Ceará",0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade Dos Funcionários
Café Solar Fortaleza,Cafeteria,"R. Leonardo Mota, 295 - Meireles, Fortaleza - CE, 60160-110",Cafeteria,4.8,20,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Madocinhos,Cafeteria,"Rua Governador Sampaio - Centro, Fortaleza - CE, 60055-050",Lanchonete,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Tortelê,Cafeteria,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Le Pain Le Café Boulangerie,Cafeteria,"R. Monsenhor Catão, 1430 - Aldeota, Fortaleza - CE, 60175-000",Cafeteria,4.5,180,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Catarina Cafe,Cafeteria,"Av. Eng. Santana Jr., 999 - Papicu, Fortaleza - CE, 60175-652",Cafeteria,5.0,42,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Panebox Gourmet (Fátima),Cafeteria,"Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150",Cafeteria,4.3,1192,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Fátima
Le Caféine,Cafeteria,"Av Santos Dumont 3130 Quiosque 102, Piso 1, Fortaleza - CE, 60150-162",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,"Av Santos Dumont 3130 Quiosque 102, Piso 1"
Ponto do Guaraná e Cafeteria,Cafeteria,"R. Barão de Aracati, 886 - Aldeota, Fortaleza - CE, 60115-081",Lanchonete,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Moncloa Tea Boutique,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Loja De Chás,4.8,20,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Sablé Diamant,Cafeteria,"Rua Dr. José Lourenço, 1414 - Aldeota, Fortaleza - CE, 60115-280",Cafeteria,4.6,1073,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
JN Bolos e Confeitaria,Cafeteria,"Rua Solon Pinheiro, 180 - Centro, Fortaleza - CE, 60050-040",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Espaço Vida Saudável Fit Lounge Bem Fica,Cafeteria,"R. da Assunção, 1189 - José Bonifacio, Fortaleza - CE, 60050-011",Casa De Chá Tradicional,4.9,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio
Mais1 Café - Fortaleza,Cafeteria,"R. Vicente Leite, 876 - Meireles, Fortaleza - CE, 60170-150",Cafeteria,4.8,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Pâine Croissanterie,Cafeteria,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Patisserie,4.3,20,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Monstera Café Cultural,Cafeteria,"Av. Pontes Vieira, 417 - Dionísio Torres, Fortaleza - CE, 60130-240",Café,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres
Café Passeio,Cafeteria,"Passeio Público - R. Dr. João Moreira - Centro, Fortaleza - CE, 60030-000",Cafeteria,4.5,1044,45.0,120.0,0 days 00:45:00,0 days 02:00:00,Centro
Vibe café,Cafeteria,"Rua Manuel Queirós, 511A - Cocó, Fortaleza - CE, 60192-220",Cafeteria,3.7,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cocó
Empório Brownie,Cafeteria,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Padaria,4.4,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
CAFE CARAMELLO FORTALEZA - DISTRIBUIDORA,Cafeteria,"R. Tibúrcio Cavalcante, 1675 - Meireles, Fortaleza - CE, 60125-045",Café,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Cheirim Bão,Cafeteria,"Av. Santos Dumont, 3131 - Aldeota, Fortaleza - CE, 60150-162",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
D’ellas Cafeteria,Cafeteria,"Rua Torres Câmara, 181 - Aldeota, Fortaleza - CE, 60150-060",Café,4.4,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Empório do Cacau Brasil,Cafeteria,"R. Sen. Pompeu, 2610 - loja 17 - José Bonifacio, Fortaleza - CE, 60025-001",Cafeteria,5.0,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio
Café Santa Clara,Cafeteria,"Av. Washington Soares, 85 - Loja 68 - Messejana, Fortaleza - CE, 60810-350",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Messejana
cafe dek porronda,Cafeteria,"R. Barão do Rio Branco, 1006 - Centro, Fortaleza - CE, 60025-060",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Loja Ostara,Cafeteria,"R. Castro e Silva, 401 - Centro, Fortaleza - CE, 60030-010",Sorveteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
Trino Café Montese | Sua cafeteria no Montese,Cafeteria,"R. Edite Braga, 1310 - Montese, Fortaleza - CE, 60410-222",Café,4.8,221,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Montese
Tortelê - Riomar Fortaleza,Cafeteria,"Rua Desembargador Lauro Nogueira 1500, Piso L2 2052 - Papicu, Fortaleza - CE, 60175-055",Confeitaria,0.0,0,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Papicu
Café Aurora,Cafeteria,"Alameda das Boas Noites, 333A - Cidade 2000, Fortaleza - CE, 60190-180",Café,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000
Vibe 085,Cafeteria,"Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220",Cafeteria,4.6,172,270.0,270.0,0 days 04:30:00,0 days 04:30:00,Cocó
Launic caralem,Cafeteria,"Av. das Graviolas, 1000 - Cidade 2000, Fortaleza - CE, 60190-560",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000
"Emporio, café, almoço.",Cafeteria,"Av. Dioguinho, 4792-4800 - Vicente Pinzon, Fortaleza - CE, 60182-125",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon
Cafe Marita FORTALEZA CE,Cafeteria,"R. Alagoas, 1169 - Demócrito Rocha, Fortaleza - CE, 60440-150",Loja De Produtos Naturais,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Demócrito Rocha
Bento Cafeteria e Rostisseria,Cafeteria,"Rua Padre Valdevino, 1138 - Aldeota, Fortaleza - CE, 60135-040",Restaurante,5.0,5,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Boutique do Café,Cafeteria,"Av. Leste Oeste, 3569 - Cristo Redentor, Fortaleza - CE, 60010-450",Café,4.3,26,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cristo Redentor
ELO COZINHA AFETIVA,Cafeteria,"Rua Torres Câmara, 100 - Aldeota, Fortaleza - CE, 60150-060",Cafeteria,5.0,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Lindt,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Chocolateria,0.0,0,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Papicu
Livraria Lamarca,Cafeteria,"Av. da Universidade, 2475 - Benfica, Fortaleza - CE, 60020-180",Livraria,4.7,752,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Fortaleza,Cafeteria,"Vila Bachá, 15 - Meireles, Fortaleza - CE, 60160-050",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Guanabara Pastelaria,Cafeteria,"R. Major Facundo, 1003 - Centro, Fortaleza - CE, 60025-100",Cafeteria,4.7,505,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Centro
Bistrô da Silvestre,Cafeteria,"Centro, Fortaleza - CE, 60055-080",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro
LeCafé,Cafeteria,"R. Gen. Clarindo de Queiroz, 1745 - Box 350 - Farias Brito, Fortaleza - CE, 60010-250",Cafeteria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito
Candyman bolos e doces,Cafeteria,"Alameda das Crisadálias - Cidade 2000, Fortaleza - CE, 60190-380",Confeitaria,5.0,6,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000
Leão do Sul Pastelaria,Cafeteria,"R. Pedro Borges, 193 - Centro, Fortaleza - CE, 60055-110",Cafeteria,4.2,454,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Centro
Café Com Óculos,Cafeteria,"R. Ildefonso Albano, 1445 - Aldeota, Fortaleza - CE, 60115-000","Ótica Em Fortaleza, Ceará",4.0,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Rs Panificadora,Cafeteria,"R. Paulo Mendes, 308 - Antonio Diogo, Fortaleza - CE, 60182-410",Padaria,4.6,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Antonio Diogo
Mercantinho,Cafeteria,"Av. Visconde do Rio Branco, 2412 - José Bonifacio, Fortaleza - CE, 60110-001",Supermercado,4.8,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio
Brazilian Coffee,Cafeteria,"R. Carapinima, 2200 - 139 - Benfica, Fortaleza - CE, 60015-329","Loja De Departamento Em Fortaleza, Ceará",0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica
Cafe Caramello C.D.,Cafeteria,"R. Tibúrcio Cavalcante - Fortaleza, CE, 60125-045",Café,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,045
Café Nordeste,Cafeteria,"Rua Tigipió, 33 - Praia de Iracema, Fortaleza - CE, 60060-420",Café,4.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Praia De Iracema
Indie Bistrô & Arte,Cafeteria,"R. Marcondes Pereira, 43 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-060",Cafeteria,4.5,110,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza)
Nhamy Nhamy Mercado Saudável,Delivery De Comida,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,5.0,20,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Cambeba
Verdelima Restaurante,Delivery De Comida,"R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055",Delivery De Comida,4.5,477,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Aldeota
Divina Comida,Delivery De Comida,"Rua Desembargador Leite Albuquerque, 920 - Aldeota, Fortaleza - CE, 60150-100",Delivery De Comida,0.0,0,30.0,30.0,0 days 00:30:00,0 days 00:30:00,Aldeota
Delivery Menu,Delivery De Comida,"R. Osvaldo Cruz, 2085 - Dionísio Torres, Fortaleza - CE, 60125-151",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres
Delivery da Silvana e Kelson,Delivery De Comida,"Alameda Maria da Glória - Cidade 2000, Fortaleza - CE, 60190-180",Restaurante De Comida Caseira,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000
Saladex,Delivery De Comida,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Delivery De Comida,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
"Carneiro do Ordones Jovita: Churrasco, Pratos Executivos, Cerveja, Restaurante, Delivery Fortaleza CE",Delivery De Comida,"Av. Jovita Feitosa, 289 - Parquelândia, Fortaleza - CE, 60455-410",Restaurante,0.0,0,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Parquelândia
Brasileirinho Delivery,Delivery De Comida,"R. Costa Barros, 941 - Loja 04 e 05 - Aldeota, Fortaleza - CE, 60160-280",Delivery De Comida,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
