NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Go Coffee Avenida Padre Antônio Tomás,4.6,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,cafeteria,16,0.0,0.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Lis Café,5.0,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Atelier 1913 Cafés Especiais,4.6,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,cafeteria,47,0.0,0.0
Casa do Pão de Queijo RioMar,4.0,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,cafeteria,29,0.0,0.0
Santa Maria Café,2.0,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,cafeteria,4,0.0,0.0
Coffe America,0.0,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",,cafeteria,0,0.0,0.0
B.LEM,4.4,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$,cafeteria,299,10.0,10.0
Vintage Coffee,0.0,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",,cafeteria,0,0.0,0.0
Consulado Café,4.3,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",$$,cafeteria,1.399,0.0,0.0
Benévolo Café e Gelato,4.5,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",$$,cafeteria,744,30.0,30.0
Vai Café,4.4,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,cafeteria,14,0.0,0.0
Grão Café e Bistrô,4.0,"R. Joaquim Nabuco, 2829 - Dionísio Torres, Fortaleza - CE, 60125-121",Restaurante,cafeteria,8,0.0,0.0
Novo Café,3.3,"R. João Carvalho, 800 - Aldeota, Fortaleza - CE, 60140-140",Café,cafeteria,6,0.0,0.0
Don Cookies Coffee House,4.9,"Rua Felino Barroso, 1001 - Fátima, Fortaleza - CE, 60050-130",Cafeteria,cafeteria,14,20.0,20.0
Café Conceito Bar,5.0,"Av. Beira Mar, 3958 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Rose's Cafeteria & Restaurante,4.8,"R. Pedro Borges, 33 - Loja 01 - Centro, Fortaleza - CE, 60055-120",Cafeteria,cafeteria,18,25.0,25.0
Chez Café,4.5,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",$$,cafeteria,366,0.0,0.0
Cafeteria Santa Clara Luíza Távora,4.5,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,cafeteria,380,0.0,0.0
Cafe Liguria,5.0,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Salpetrier Café,4.9,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,cafeteria,29,0.0,0.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Pâine Panificação Artesanal,0.0,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",$$,cafeteria,0,15.0,15.0
Central Coffee,5.0,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Café Iracema,4.0,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,cafeteria,4,0.0,0.0
Vonet Patisserie e Cafeteria,5.0,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,cafeteria,3,0.0,0.0
Cafeteria La Perla,5.0,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Pâine croissanterie,4.2,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,cafeteria,27,10.0,10.0
Café Portugal,5.0,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,cafeteria,Umcomentário,0.0,0.0
Bauducco,3.8,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,cafeteria,13,15.0,15.0
cafeteria arte de comer,5.0,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,cafeteria,2,0.0,0.0
The Coffee,4.8,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,cafeteria,45,0.0,0.0
Bacio di Latte - Shopping Riomar Fortaleza,3.2,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,cafeteria,13,15.0,15.0
Empório da Tapioca,4.3,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,cafeteria,246,10.0,10.0
Sh82 Café,5.0,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,cafeteria,10,0.0,0.0
Dona Rocilda- Cafeteria e Doceria,4.8,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,cafeteria,31,0.0,0.0
Padaria e Confeitaria Vovó Joana - Cocó,4.5,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",$$,cafeteria,3.456,20.0,20.0
Montmarttre (Varjota),4.5,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",$$,cafeteria,1.665,45.0,45.0
Saci Pê Tabacaria e Café,4.6,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,cafeteria,15,45.0,45.0
Go Coffee Abolição,4.4,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,cafeteria,25,0.0,0.0
Confeitaria Le Chica,4.6,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",$$,cafeteria,230,25.0,25.0
Jardins Café Fortaleza,4.6,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,cafeteria,50,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
Flôr do Café Confeitaria,4.6,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,cafeteria,176,10.0,10.0
Tiamate Coffee Aldeota,5.0,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,cafeteria,23,0.0,0.0
Dom Kidrack'S Cafeteria,4.1,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",$,cafeteria,13,0.0,0.0
Zelig Café Pinacoteca,0.0,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",,cafeteria,0,0.0,0.0
Le pain Le café,0.0,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",,cafeteria,0,0.0,0.0
Café Ilha,4.6,"R. dos Cariris, 43 - Térreo - Praia de Iracema, Fortaleza - CE, 60060-230",Cafeteria,cafeteria,38,30.0,30.0
Café Arretado,3.7,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Cafeteria,cafeteria,35,15.0,15.0
