NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
FRM Marmitex Delivery;;;R. Carlos Gomes, 619 - José Bonifacio, Fortaleza - CE, 60025-101;;;delivery de comida
Baiano Lanches e Comida;;;R. Barão de Aratanha, 80 - Lj 03 - Centro, Fortaleza - CE, 60050-070;;;delivery de comida
Carlos Lanches;;;R. Antônio Pompeu, 586 - Centro, Fortaleza - CE, 60040-000;Lanchonete;30 min;delivery de comida
Dunada Burger;5.0;21 comentários;M dias branco - R. dos Cajueiros, 1421 - Fortaleza, CE, 60190-620;Hamburgueria;;delivery de comida
DOM CARIOCA'S;3.0;Um comentário;Av Dioguinho Praia do Futuro ll, Fortaleza - CE, 60371-809;Pizzaria;;delivery de comida
Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE;;;R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170;$$$;1-2 horas;delivery de comida
Zé, comida na rua;;;Av. Almirante Barroso, 877 - loja 3 - Praia de Iracema, Fortaleza - CE, 60060-440;;;delivery de comida
Creuza Burguer;;;Alameda Ana Elisa, 34B - Cidade 2000, Fortaleza - CE, 60190-130;$;25 min;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Frigideira do Jonny Self Service;4.6;2.259 comentários;R. Joaquim Nabuco, 1900 - Aldeota, Fortaleza - CE, 60125-055;$$;45 min;delivery de comida
Zé, comida na rua;;;Av. Almirante Barroso, 877 - loja 3 - Praia de Iracema, Fortaleza - CE, 60060-440;;;delivery de comida
Cozinha Mágica;;;Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161;Restaurante self-service;15 min;delivery de comida
Creuza Burguer;;;Alameda Ana Elisa, 34B - Cidade 2000, Fortaleza - CE, 60190-130;$;25 min;delivery de comida
Delicias de Horler;5.0;9 comentários;Rua Solon Pinheiro, 218 - Centro, Fortaleza - CE, 60050-040;Restaurante;;delivery de comida
Estela Pizza: Pizza Americana, Pizza Doce, Delivery, Pizzaria, Fortaleza CE;;;Vila, R. Doctor Antônio Goes, 1125 - Aldeota, Fortaleza - CE, 60115-120;Pizzaria;;delivery de comida
Donadel Food Truck;;;Av. Desembargador Moreira, 2355 - Aldeota, Fortaleza - CE, 60170-173;Restaurante fast-food;;delivery de comida
Bom Pasto;;;R. Rocha Lima, 166 - Centro, Fortaleza - CE, 60135-000;Restaurante self-service;30 min;delivery de comida
Kêla Pasta;;;Alameda das Tulipas, 408 - Cidade 2000, Fortaleza - CE, 60190-350;Restaurante;;delivery de comida
Popizza;;;nao rola - Aldeota, Fortaleza - CE, 60110-301;;;delivery de comida
Aioli - Delivery de Delícias;4.5;8 comentários;R. Ildefonso Albano, 870 - Meireles, Fortaleza - CE, 60115-000;Restaurante;;delivery de comida
Marmitaria e Pizzaria Ernane;4.5;19 comentários;R. Pedro Balbino, 170 - Manuel Dias Branco, Fortaleza - CE, 60191-680;Pizzaria;;delivery de comida
Comida caseira sabor do goias;;;Av. Almirante Barroso, 980 - Iracema, Fortaleza - CE, 60060-440;Restaurante;;delivery de comida
Pizzaria Doro;;;R. Pereira Filgueiras, 564 - Centro, Fortaleza - CE, 60160-150;$;15 min;delivery de comida
Coco Bambu Beira Mar;4.6;18.708 comentários;Av. Beira Mar, 3698 - Beira Mar, Fortaleza - CE, 60165-121;$$$;1-2,5 horas;delivery de comida
Restaurante da Zena;;;R. Meton de Alencar, 549 - Centro, Fortaleza - CE, 60035-160;$$;25 min a 1 h;delivery de comida
Madruga Varjota;;;R. Coronel Manuel Jesuíno, 652 - Varjota, Fortaleza - CE, 60175-270;Restaurante self-service;;delivery de comida
Dom Tiziano;;;R. Floriano Peixoto, 799 - Centro, Fortaleza - CE, 60025-131;Restaurante self-service;30 min;delivery de comida
Larica Pizzaria;;;Av. Nila Gomes de Soárez, 403 - Cidade 2000, Fortaleza - CE, 60190-630;;;delivery de comida
